 ASIGNATURA;TEMA O CONCEPTO
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Mutlilistas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo divide y vencerás
ESTRUCTURAS DE DATOS;listas enlazadas
ESTRUCTURAS DE DATOS;Pilas y colas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Herencia
ESTRUCTURAS DE DATOS;Grafos y árboles
ANÁLISIS Y DISEÑO DE ALGORITMOS;COMPLEJIDAD TEMPORAL
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;try catch
ESTRUCTURAS DE DATOS;Multilistas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;inicios UML
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Clases y métodos 
ANÁLISIS Y DISEÑO DE ALGORITMOS;APLICACIÓN DE ALGORITMOS
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos de ordenamiento
PROGRAMACIÓN IMPERATIVA;Arreglos y matrices
PROGRAMACIÓN IMPERATIVA;Matrices
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas
ALGORITMIA Y PROGRAMACIÓN;PROGRAMACIÓN APLICADA AL PROYECTO INTEGRADOR
ALGORITMIA Y PROGRAMACIÓN;Algoritmos
ALGORITMIA Y PROGRAMACIÓN;Condicionales 
ESTRUCTURAS DE DATOS;Multilistas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Creación de clases en Eclipse
ARQUITECTURA DE SOFTWARE;Se establece la estrategia para abordar los temas de programación OO
ESTRUCTURAS DE DATOS;Multilistas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Requeriemientos funcionales
ESTRUCTURAS DE DATOS;Multilistas
INGENIERÍA DE SOFTWARE;Acompañamiento adición namespace gitlab
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Requerimientos
ALGORITMIA Y PROGRAMACIÓN;ARREGLOS Y VECTORES EN VBA INTEGRADOS AL PROYECTO INTEGRADOR
ESTRUCTURAS DE DATOS;Listas Enlazadas
ALGORITMIA Y PROGRAMACIÓN;INTEGRACION DE SENTENCIAS REPETITIVAS Y CONDICIONALES AL PROY IONTEGRADOR
PROGRAMACIÓN IMPERATIVA;Funciones y estructuras 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Herencia
ESTRUCTURAS DE DATOS;Árboles y grafos
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos recursivos e iterativos
ESTRUCTURAS DE DATOS;Multilistas
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos
ANÁLISIS Y DISEÑO DE ALGORITMOS;ALGORITMOS APLICADOS
ESTRUCTURAS DE DATOS;Multilistas
INGENIERÍA DE SOFTWARE;Gestión de cuentas gitlab
ANÁLISIS Y DISEÑO DE ALGORITMOS;complejidad computacional y máquina de turing
ANÁLISIS Y DISEÑO DE ALGORITMOS;Función asintótica
INGENIERÍA DE SOFTWARE;patrones GRASP
ANÁLISIS Y DISEÑO DE ALGORITMOS;backtracking
ESTRUCTURAS DE DATOS;Lista enlazadas
ESTRUCTURAS DE DATOS;Pilas y colas
ANÁLISIS Y DISEÑO DE ALGORITMOS;ALGORITMOS
ANÁLISIS Y DISEÑO DE ALGORITMOS;Estructura de los Algoritmos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Consulta proyecto integrador
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Proyecto integrador
ESTRUCTURAS DE DATOS;Apuntadores
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas
INGENIERÍA DE SOFTWARE;Algoritmo de descenso de gradiente
INGENIERÍA DE SOFTWARE;APRENDIZAJE SUPERVISADO
INGENIERÍA DE SOFTWARE;Redes de computadoras 
PROGRAMACIÓN IMPERATIVA;Ciclos anidados
ANÁLISIS Y DISEÑO DE ALGORITMOS;Aplicación de algoritmos de ordenamiento
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Consulta proyecto integrador
ESTRUCTURAS DE DATOS;listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Proyecto integrador
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teorema de Bayes y dataset de Iris
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Selección de variables para Naive Bayes categorico
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Algoritmo de K-means
ALGORITMIA Y PROGRAMACIÓN;SNTENCIAS REPETITIVAS
ESTRUCTURAS DE DATOS;Listas Enlazadas
ANÁLISIS Y DISEÑO DE ALGORITMOS;backtracking
CONSTRUCCIÓN DE SOFTWARE;desarrollo web
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación subgrupo gitlab
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Revisión test unitarios
INGENIERÍA WEB;BPM para caracterización de procesos
ANÁLISIS Y DISEÑO DE ALGORITMOS;paradigma de programación dinámica
ANÁLISIS Y DISEÑO DE ALGORITMOS;árboles recursivos
ANÁLISIS Y DISEÑO DE ALGORITMOS;backtracking
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Listas Enlazadas
ALGORITMIA Y PROGRAMACIÓN;Estructuras de control -- Uso de condicionales
ALGORITMIA Y PROGRAMACIÓN;ANIDAMIENTO DE ESTRUCTURAS DE CONTROL
ALGORITMIA Y PROGRAMACIÓN;Estructuras repetitivas WHILE - DO
ALGORITMIA Y PROGRAMACIÓN;Uso de variables en VB para aplicaciones
ALGORITMIA Y PROGRAMACIÓN;Pruebas de escritorio
ALGORITMIA Y PROGRAMACIÓN;Arreglos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;try-catch
ESTRUCTURAS DE DATOS;Multilistas
INGENIERÍA DE SOFTWARE;APRENDIZAJE SUPERVISADO
INGENIERÍA DE SOFTWARE;IMPLEMENTACIÓN DEL ALGORITMO DE REGRESIÓN
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo divide y vencerás
INGENIERÍA DE SOFTWARE;Redes de computadoras 
PROGRAMACIÓN IMPERATIVA;Sentencias selectivas y proyecto integrador
PROGRAMACIÓN IMPERATIVA;Ciclos anidados
PROGRAMACIÓN IMPERATIVA;ciclos
PROGRAMACIÓN IMPERATIVA;Arreglos y matrices
PROGRAMACIÓN IMPERATIVA;Matrices 
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas 
ALGORITMIA Y PROGRAMACIÓN;PROGRAMACIÓN APLICADA AL PROYECTO INTEGRADOR
PROGRAMACIÓN IMPERATIVA;Proyecto integrador
PROGRAMACIÓN IMPERATIVA;Matrices y arreglos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Casos de uso
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Clases y objetos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Creación de objetos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;excepciones
ANÁLISIS Y DISEÑO DE ALGORITMOS;invariante de ciclo
ANÁLISIS Y DISEÑO DE ALGORITMOS;paradigma de divide y vencerás
ANÁLISIS Y DISEÑO DE ALGORITMOS;árboles recursivos
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos backtracking
ALGORITMIA Y PROGRAMACIÓN;ARREGLOS Y VECTORES EN VBA INTEGRADOS AL PROYECTO INTEGRADOR
ESTRUCTURAS DE DATOS;Listas Enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Aplicación de algoritmos 
ANÁLISIS Y DISEÑO DE ALGORITMOS;Álgoritmos
PROGRAMACIÓN IMPERATIVA;Funciones en c++
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Interfaces en Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Casos de Uso
ESTRUCTURAS DE DATOS;Multilistas
INGENIERÍA DE SOFTWARE;Namespace para cuenta de gitlab
ALGORITMIA Y PROGRAMACIÓN;INTEGRACIÓN DE SENTENCIAS REPETITIVAS AL PROYECTO INTEGRADOR
ALGORITMIA Y PROGRAMACIÓN;APLICACIÓN DE VBA CENTRADA EN EL PROYECTO INTEGRADOR
ESTRUCTURAS DE DATOS;Multilistas
ANÁLISIS Y DISEÑO DE ALGORITMOS;pseudocódigo para el diseño de algoritmos
ANÁLISIS Y DISEÑO DE ALGORITMOS;notación asintótica
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos voraces
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos para recorrido de grafos
INGENIERÍA DE SOFTWARE;android studio
ESTRUCTURAS DE DATOS;Pilas y colas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Uml
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Apuntadores
ANÁLISIS Y DISEÑO DE ALGORITMOS;SUCESIONES SERIES E INDUCCIÓN MATEMÁTICA
INGENIERÍA DE SOFTWARE;Algoritmo de descenso de gradiente
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos
INGENIERÍA DE SOFTWARE;IMPLEMENTACION DEL ALGORITMO DE REGRESION
INGENIERÍA DE SOFTWARE;Redes de computadoras 
INGENIERÍA DE SOFTWARE;Programación de la tarjeta ESP32
PROGRAMACIÓN IMPERATIVA;MAtrices
ANÁLISIS Y DISEÑO DE ALGORITMOS;ALGORTIMO DIVIDE Y VENCERAS
ALGORITMIA Y PROGRAMACIÓN;Expresiones
ALGORITMIA Y PROGRAMACIÓN;Condicionales
ESTRUCTURAS DE DATOS;ÁRBOLES
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Multilistas
INGENIERÍA DE SOFTWARE;Namespace para cuenta de gitlab
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Pilas y colas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Herencia
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Herencia
ESTRUCTURAS DE DATOS;Árboles y grafos 
ESTRUCTURAS DE DATOS;Manejo de variables y tipos de datos en python 
PROGRAMACIÓN IMPERATIVA;Programación orientada a objetos
ESTRUCTURAS DE DATOS;Programación orientada a objetos y árboles
PROGRAMACIÓN IMPERATIVA;Proyecto Integrador
PROGRAMACIÓN IMPERATIVA;Pruebas de escritorio
PROGRAMACIÓN IMPERATIVA;Arreglos y matrices
PROGRAMACIÓN IMPERATIVA;Estructuras en c++
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Validación proyecto integrador
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Recomendaciones proyecto integrador
ESTRUCTURAS DE DATOS;Listas doblemente enlazada circular
ESTRUCTURAS DE DATOS;Multilista
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Proyecto integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;análisis de algortimos para proyecto integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;proyecto integrador
INGENIERÍA DE SOFTWARE;conexion a bases de datos
ESTRUCTURAS DE DATOS;Permutaciones y combinaciones 
ESTRUCTURAS DE DATOS;Plataformas de entrenamiento 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Requerimientos Funcionales
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos en video Juegos
PROGRAMACIÓN IMPERATIVA;Selectivas
PROGRAMACIÓN IMPERATIVA;arreglos y matrices
PROGRAMACIÓN IMPERATIVA;Proyecto integrador
PROGRAMACIÓN IMPERATIVA;Arreglos y funciones
PROGRAMACIÓN IMPERATIVA;Estructuras 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Requerimientos Funcionales
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;casos de uso
ESTRUCTURAS DE DATOS;Multilistas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Seguimiento estudiante repitente
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Revisión de código con énfasis en condicionales en código Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Concepción de modelo - seguimiento plan de trabajo estudiante repitente.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Programación de clases y objetos en Python - Seguimiento estudiante
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Interfaces de usuario - sugerencias finalización asignatura
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;comienzo UML
ESTRUCTURAS DE DATOS;Listas Enlazadas
ESTRUCTURAS DE DATOS;Listas Enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Clases y métodos
ALGORITMIA Y PROGRAMACIÓN;Pseudocódigo
PROGRAMACIÓN IMPERATIVA;Proyecto Integrador
PROGRAMACIÓN IMPERATIVA;arreglos y matrices
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Requerimientos Funcionales
ESTRUCTURAS DE DATOS;Pilas y colas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos en los video juegos
PROGRAMACIÓN IMPERATIVA;Arreglos y matrices 
PROGRAMACIÓN IMPERATIVA;Arreglos y matrices
PROGRAMACIÓN IMPERATIVA;Estructuras 
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Árbol AVL
ALGORITMIA Y PROGRAMACIÓN;Algoritmos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Requerimientos 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Instancias a clases
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Se establece la estrategia para abordar los temas de programación OO
ESTRUCTURAS DE DATOS;Listas Enlazadas
PROGRAMACIÓN IMPERATIVA;Archivos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Revisión procesos de iteración
ESTRUCTURAS DE DATOS;Listas doblemente enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Recomendación proyecto integrador
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Pias y colas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Programación clases y objetos en Java
ESTRUCTURAS DE DATOS;Pilas y colas
ANÁLISIS Y DISEÑO DE ALGORITMOS;sucesiones series e inducción matemática
ANÁLISIS Y DISEÑO DE ALGORITMOS;COMPLEJIDAD TEMPORAL
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos de recomendación
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas Enlazadas
ESTRUCTURAS DE DATOS;Listas Enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Requerimientos Funcionales
ESTRUCTURAS DE DATOS;Multilistas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos en video juegos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Recomendación proyecto integrador
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Modelo conceptual
ALGORITMIA Y PROGRAMACIÓN;pseudocódigo
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Listas enlazadas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Aplicación de algoritmos de ordenamiento
ANÁLISIS Y DISEÑO DE ALGORITMOS;Álgoritmos
PROGRAMACIÓN IMPERATIVA;Promedio Ponderado
ESTRUCTURAS DE DATOS;listas enlazadas
ESTRUCTURAS DE DATOS;listas enlazadas
INGENIERÍA DE SOFTWARE;Namespace para cuenta de gitlab
ALGORITMIA Y PROGRAMACIÓN;ESTRUCTURACIÓN DE PROBLEMAS
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Modelo Vista Controlador
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Validación del modelo de clases
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Validación del alcance del software
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Arraylist 
ESTRUCTURAS DE DATOS;Pilas y Colas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Modelado con UML
PROGRAMACIÓN IMPERATIVA;Estructuras arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Vectores matrices apuntadores funciones en C++
ESTRUCTURAS DE DATOS;Estructuras y apuntadores
ESTRUCTURAS DE DATOS;Listas Enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Revisión de código con énfasis en condicionales en código Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Modelado con UML
PROGRAMACIÓN IMPERATIVA;ciclos y funciones
PROGRAMACIÓN IMPERATIVA;apuntadores
PROGRAMACIÓN IMPERATIVA;Archivos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;casos de uso y uml
ESTRUCTURAS DE DATOS;Multilistas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;ArrayList
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Grafos
PROGRAMACIÓN IMPERATIVA;ciclos y funciones
PROGRAMACIÓN IMPERATIVA;apuntadores
PROGRAMACIÓN IMPERATIVA;Archivos
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Arraylist
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas
PROGRAMACIÓN IMPERATIVA;ciclos y funciones
PROGRAMACIÓN IMPERATIVA;apuntadores
PROGRAMACIÓN IMPERATIVA;archivos
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;casos de uso y UML
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;ArrayList UML
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Grafos
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas
ALGORITMIA Y PROGRAMACIÓN;Proyecto integrador
ESTRUCTURAS DE DATOS;Listas enlazadas
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador ? Diseño de página web ? concientización contaminación ambiental.
ALGORITMIA Y PROGRAMACIÓN;Revisión documento EL CAMBIO CLIMÁTICO Y SUS EFECTOS EN LA AGRICULTURA COLOMBIANA
ESTRUCTURAS DE DATOS;Diagrama de clases y casos de uso
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Relaciones y casos de uso
ALGORITMIA Y PROGRAMACIÓN;Revisión documento APLICACIÓN CERO COLILLAS EN LAS ZONAS ALEDAÑAS DE LA UNIVERSIDAD CATOLICA DE COLOMBIA
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador
ALGORITMIA Y PROGRAMACIÓN;Revisión documento APLICACIÓN CERO COLILLAS EN LAS ZONAS ALEDAÑAS DE LA UNIVERSIDAD CATOLICA DE COLOMBIA
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador
ALGORITMIA Y PROGRAMACIÓN;Arreglos y matrices
ALGORITMIA Y PROGRAMACIÓN;Revisión documento APLICACIÓN CERO COLILLAS EN LAS ZONAS ALEDAÑAS DE LA UNIVERSIDAD CATOLICA DE COLOMBIA
PROGRAMACIÓN IMPERATIVA;Funciones en C++
PROGRAMACIÓN IMPERATIVA;Sentencias de Decisión y Ciclos en C++
PROGRAMACIÓN IMPERATIVA;Vectores y funciones en C++
PROGRAMACIÓN IMPERATIVA;Vectores y apuntadores en C++
PROGRAMACIÓN IMPERATIVA;Vectores y matrices en C++
PROGRAMACIÓN IMPERATIVA;Ejercicios prácticos de arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Estructuras arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Manejo de archivos en C++
PROGRAMACIÓN IMPERATIVA;Vectores y Matrices en C 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Casos de uso
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;UML
ESTRUCTURAS DE DATOS;Definición de problema ? Proyecto Integrador
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Diseño en Uml 
ESTRUCTURAS DE DATOS;Multilistas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Interfaz gráfica en Java
ALGORITMIA Y PROGRAMACIÓN;Revisión documento DISEÑO E IMPLEMENTACIÓN DE UN SISTEMA DE VISIÓN ARTIFICIAL PARA DETECTAR BASURAS
PROGRAMACIÓN IMPERATIVA;Ciclos
PROGRAMACIÓN IMPERATIVA;Arreglos
PROGRAMACIÓN IMPERATIVA;Arreglos
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador - Sistema de visión artificial
ALGORITMIA Y PROGRAMACIÓN;Revisión documento DISEÑO E IMPLEMENTACIÓN DE UN SISTEMA DE VISIÓN ARTIFICIAL PARA DETECTAR BASURAS
ESTRUCTURAS DE DATOS;multilistas
ALGORITMIA Y PROGRAMACIÓN;Revisión documento DISEÑO E IMPLEMENTACIÓN DE UN SISTEMA DE VISIÓN ARTIFICIAL PARA DETECTAR BASURAS
PROGRAMACIÓN IMPERATIVA;Funciones en C++
PROGRAMACIÓN IMPERATIVA;Sentencias de Decisión y Ciclos en C++
PROGRAMACIÓN IMPERATIVA;Vectores y apuntadores en C++
PROGRAMACIÓN IMPERATIVA;Ejercicios prácticos de arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Vectores matrices apuntadores funciones en C++
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Uml
ESTRUCTURAS DE DATOS;Listas Enlazadas
ALGORITMIA Y PROGRAMACIÓN;Revisión proyecto integrador
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Diseño en uml
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Uml
ESTRUCTURAS DE DATOS;Lista enlazadas
ESTRUCTURAS DE DATOS;multilistas
ESTRUCTURAS DE DATOS;Grafos
ALGORITMIA Y PROGRAMACIÓN;Revisión proyecto integrador
PROGRAMACIÓN IMPERATIVA;Ejercicios prácticos de arreglos y matrices en C++
ALGORITMIA Y PROGRAMACIÓN;Revisión proyecto integrador
PROGRAMACIÓN IMPERATIVA;Arreglos
ESTRUCTURAS DE DATOS;Listas enlazadas
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador ? Diseño de página web ? concientización contaminación ambiental.
ALGORITMIA Y PROGRAMACIÓN;Revisión documento EL CAMBIO CLIMÁTICO Y SUS EFECTOS EN LA AGRICULTURA COLOMBIANA
PROGRAMACIÓN IMPERATIVA;Estructuras arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Funciones 
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador - Sistema de visión artificial
ALGORITMIA Y PROGRAMACIÓN;Revisión documento DISEÑO E IMPLEMENTACIÓN DE UN SISTEMA DE VISIÓN ARTIFICIAL PARA DETECTAR BASURAS
ESTRUCTURAS DE DATOS;listas enlazadas
ANÁLISIS Y DISEÑO DE ALGORITMOS;APLICAICÓN DE ALGORITMOS
ANÁLISIS Y DISEÑO DE ALGORITMOS;ALGORITMOS DE ORDENAMIENTO
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador - Sistema de reutilización de aguas residuales
ALGORITMIA Y PROGRAMACIÓN;Definición de problema en proyecto integrador
ALGORITMIA Y PROGRAMACIÓN;Revisión de pregunta problema y justificación de proyecto integrador
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador
ALGORITMIA Y PROGRAMACIÓN;Arreglos y matrices
ALGORITMIA Y PROGRAMACIÓN;Revisión documento Recolección de agua lluvia para su uso en cultivos
PROGRAMACIÓN IMPERATIVA;Funciones en C++
PROGRAMACIÓN IMPERATIVA;Vectores y apuntadores en C++
PROGRAMACIÓN IMPERATIVA;Vectores y matrices en C++
PROGRAMACIÓN IMPERATIVA;Ejercicios prácticos de arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Estructuras arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Vectores y Matrices en C 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Casos de uso.
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Definición de problema ? Proyecto Integrador
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Diseño uml 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Interfaz gráfica en Java
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador - Sistema de reutilización de aguas residuales
ALGORITMIA Y PROGRAMACIÓN;Definición de problema en proyecto integrador
ALGORITMIA Y PROGRAMACIÓN;Revisión de pregunta problema y justificación de proyecto integrador
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador
ALGORITMIA Y PROGRAMACIÓN;Arreglos y matrices
ALGORITMIA Y PROGRAMACIÓN;Revisión documento Recolección de agua lluvia para su uso en cultivos
PROGRAMACIÓN IMPERATIVA;Funciones en C++
PROGRAMACIÓN IMPERATIVA;Sentencias de Decisión y Ciclos en C++
PROGRAMACIÓN IMPERATIVA;Vectores y funciones en C++
PROGRAMACIÓN IMPERATIVA;Vectores y apuntadores en C++
PROGRAMACIÓN IMPERATIVA;Ejercicios prácticos de arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Estructuras arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Vectores y Matrices en C 
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Casos de uso 
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Definición de problema ? Proyecto Integrador
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Multilistas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Interfaz gráfica en Java
ALGORITMIA Y PROGRAMACIÓN;Proyecto Integrador
